Geneid	Length	Obp56h_KO_M_1	Obp56h_KO_M_2	CSB_M_1	CSB_M_2
FBgn0026872	1705	336	317	265	342
FBgn0029580	753	101	165	151	81
FBgn0025383	1082	3	8	0	1
FBgn0025381	2721	1039	1015	821	1038
FBgn0025394	4686	1857	1984	1703	1756
FBgn0000482	3161	548	522	364	540
FBgn0001189	3038	526	529	409	520
FBgn0029587	3151	120	109	67	103
FBgn0024897	2139	143	132	94	143
FBgn0025391	3905	496	493	320	463
FBgn0025378	1247	0	1	9	3
FBgn0023130	2218	560	541	501	506
FBgn0023530	829	168	146	61	124
FBgn0025390	7661	2791	2537	2432	2064
FBgn0025393	457	0	0	0	0
FBgn0003517	1338	8379	8873	7271	10797
FBgn0044508	99	0	0	0	0
FBgn0025382	1564	75	77	67	109
FBgn0052808	1063	79	64	34	53
FBgn0027791	1634	103	119	114	125
FBgn0027793	870	0	9	11	13
FBgn0052806	803	21	20	14	33
FBgn0026873	865	108	142	134	117
FBgn0023513	3419	96	102	82	129
FBgn0014411	2543	1660	1672	1257	1487
FBgn0023514	1704	366	447	367	313
FBgn0029594	1019	416	451	259	318
FBgn0023519	1076	202	157	151	180
FBgn0023509	3459	502	481	494	560
FBgn0023510	6716	4319	4492	2901	4032
FBgn0023508	3688	1526	1561	1219	1508
FBgn0023522	1892	424	460	287	385
FBgn0023521	1105	63	76	59	59
FBgn0025627	1097	13	40	44	38
FBgn0025630	2070	114	119	75	128
FBgn0025629	923	131	151	99	179
FBgn0025628	3313	1068	1079	701	1264
FBgn0029596	920	1	0	0	4
FBgn0025626	2664	453	549	411	533
FBgn0025625	5230	1506	1403	1008	1441
FBgn0025631	3939	2472	2283	2194	2381
FBgn0026878	897	161	176	114	123
FBgn0000667	5272	4083	4390	2646	4192
FBgn0003964	3038	1380	1378	1076	1156
FBgn0023545	1203	420	383	341	428
FBgn0023520	2341	125	165	110	125
FBgn0023512	2447	404	398	308	384
FBgn0023511	4752	1027	920	728	1157
FBgn0052801	937	0	0	0	0
FBgn0023518	8314	1651	1529	1401	1676
FBgn0026088	620	580	716	746	540
FBgn0026089	920	294	332	262	244
FBgn0023517	1100	184	147	92	166
FBgn0023516	2230	392	358	257	477
FBgn0023515	3577	182	165	117	173
FBgn0028969	2170	1196	1381	1029	1191
FBgn0026090	802	426	437	462	369
FBgn0029590	849	6	3	19	8
FBgn0025624	1240	164	145	119	200
FBgn0040395	4096	5343	5641	3850	4939
FBgn0000382	8732	17972	17725	13387	14735
FBgn0023507	2209	3212	3320	1871	3751
FBgn0004654	1895	1220	1214	827	1450
FBgn0023540	2031	994	1112	852	863
FBgn0025839	807	1015	1211	857	1015
FBgn0011576	2467	0	1	0	0
FBgn0015036	1822	6	16	17	10
FBgn0003116	1638	264	330	227	255
FBgn0040899	534	137	184	189	90
FBgn0040900	680	39	34	15	44
FBgn0024984	1100	3	5	4	2
FBgn0023549	3197	504	497	289	436
FBgn0029606	893	7	9	3	1
FBgn0003048	12119	2733	2856	2051	2907
FBgn0000810	3052	790	714	564	653
FBgn0023523	1267	14	7	6	8
FBgn0023527	1921	163	202	154	213
FBgn0040391	1643	13	17	19	20
FBgn0053218	611	17	15	25	23
FBgn0003079	4247	959	1034	688	942
FBgn0003159	5650	2066	2005	1906	1925
FBgn0040389	653	316	296	254	235
FBgn0044047	2413	1131	1156	908	942
FBgn0040392	1385	12	30	33	23
FBgn0023526	5574	2100	2253	1479	1780
FBgn0023529	3581	3734	4414	2671	3329
FBgn0023528	3064	2085	2328	1612	1923
FBgn0027296	2163	804	829	824	811
FBgn0023524	3982	1850	1786	1496	1586
FBgn0023525	1247	123	169	89	185
FBgn0000377	2332	333	425	328	448
FBgn0001330	3927	249	210	184	251
FBgn0004397	3933	2532	2673	1707	2838
FBgn0023550	1681	73	46	101	79
FBgn0029603	1853	81	41	40	86
FBgn0023542	1791	334	323	227	338
FBgn0023541	1694	0	2	1	0
FBgn0005670	2285	40	47	11	31
FBgn0004655	7054	2395	2500	1806	2439
FBgn0013432	748	648	618	811	426
FBgn0004861	6887	1461	1567	1266	1571
FBgn0004860	6126	1340	1172	992	1399
FBgn0040394	1936	366	475	258	482
FBgn0040376	1212	38	58	52	65
FBgn0040066	1973	336	335	264	354
FBgn0001404	4662	8330	7576	6519	7119
FBgn0040336	2045	61	117	123	144
FBgn0040333	2427	20	30	47	35
FBgn0040334	1798	310	189	153	256
FBgn0029629	1027	1651	1877	1631	1858
FBgn0011566	1762	190	156	115	229
FBgn0011606	4527	66	122	79	117
FBgn0040375	1524	513	609	293	466
FBgn0040377	1294	284	243	278	297
FBgn0040388	5066	201	201	144	183
FBgn0003714	1596	383	428	240	360
FBgn0001150	1780	110	107	91	116
FBgn0052797	931	19	14	13	15
FBgn0040385	1537	7	0	18	7
FBgn0003371	12445	23368	22004	18025	16125
FBgn0003068	4527	1930	1881	1632	2209
FBgn0024993	1765	61	80	86	65
FBgn0024996	1357	400	530	641	462
FBgn0024997	2283	385	394	342	391
FBgn0024991	3152	79	84	123	116
FBgn0000928	3502	14	18	14	13
FBgn0000927	2235	11	4	13	11
FBgn0000520	2002	313	227	176	292
FBgn0024975	1804	82	69	80	117
FBgn0040356	966	5	0	5	2
FBgn0003996	2352	6	9	14	18
FBgn0040384	2365	1003	1028	619	902
FBgn0024980	1709	294	305	210	283
FBgn0000376	3886	827	807	663	750
FBgn0024973	2425	458	547	293	558
FBgn0024998	1952	398	345	263	283
FBgn0024995	1181	166	221	139	201
FBgn0024994	2217	168	174	171	149
FBgn0024992	3360	430	473	307	453
FBgn0000092	1013	18	35	16	30
FBgn0025838	946	0	1	8	10
FBgn0011276	1428	21	20	36	13
FBgn0004647	10150	2405	2507	1737	2653
FBgn0040396	931	174	162	134	156
FBgn0000479	16683	15916	16056	11261	11493
FBgn0002933	523	1	1	0	0
FBgn0003374	952	52	64	59	68
FBgn0029660	1758	1	11	27	13
FBgn0029662	2732	37	61	50	53
FBgn0029661	1518	21	19	26	14
FBgn0029659	1155	23	17	14	15
FBgn0029658	865	0	8	10	1
FBgn0052493	72	0	1	1	0
FBgn0029657	6541	44	47	35	37
FBgn0029656	1659	109	117	79	89
FBgn0003086	690	20	30	37	22
FBgn0010296	267	12	4	8	9
FBgn0010295	594	4	10	1	3
FBgn0010294	546	1	6	4	4
FBgn0040393	557	19	16	3	21
FBgn0000644	963	7	33	32	20
FBgn0028746	816	486	504	432	388
FBgn0040355	1200	41	24	13	20
FBgn0052793	2687	11	16	55	29
FBgn0029642	840	5	6	27	4
FBgn0025645	1047	2	12	12	15
FBgn0029643	1570	7	16	6	33
FBgn0029644	850	8	20	19	15
FBgn0029645	1048	5	6	12	16
FBgn0029646	1187	23	15	29	18
FBgn0029647	487	13	12	12	8
FBgn0029648	1018	142	147	79	142
FBgn0028369	7853	2008	2176	1482	1695
FBgn0029649	948	2	0	6	1
FBgn0003285	6251	701	700	662	714
FBgn0025644	1046	6	6	24	13
FBgn0029639	729	1800	1787	628	819
FBgn0040354	1352	18	24	38	12
FBgn0040353	1106	8	7	6	12
FBgn0040352	915	20	12	15	9
FBgn0029664	1472	246	299	174	225
FBgn0029666	4906	1484	1603	1246	1349
FBgn0029669	632	7	4	13	7
FBgn0052792	2071	37	37	45	31
FBgn0044046	1044	31	23	12	15
FBgn0023215	4556	8378	7823	5540	5725
FBgn0015286	2751	2329	2301	1467	1855
FBgn0023216	2599	408	406	305	380
FBgn0029672	1978	126	149	132	146
FBgn0052791	8983	564	629	447	508
FBgn0029667	2289	23	24	29	33
FBgn0029665	774	195	201	181	183
FBgn0029663	4822	2038	2213	1482	1877
FBgn0052785	72	1	0	2	0
FBgn0025118	72	5	4	12	6
FBgn0028491	4990	378	395	351	391
FBgn0028665	1792	3363	3235	2641	3271
FBgn0029681	1997	20	15	15	4
FBgn0029686	3954	161	160	127	122
FBgn0052786	3307	10	11	8	13
FBgn0052783	3306	7	10	11	12
FBgn0029687	3897	11584	13127	9057	9000
FBgn0029690	2081	0	0	1	0
FBgn0029689	2699	275	221	158	254
FBgn0029688	9245	4664	5113	3680	5031
FBgn0029685	3915	706	784	534	704
FBgn0019661	5468	69739	69328	47819	61788
FBgn0029694	1232	0	0	13	8
FBgn0000221	1450	67	62	37	66
FBgn0026084	1771	3385	3661	2658	2832
FBgn0026085	1101	10	5	23	14
FBgn0026083	11456	7001	7293	5073	6621
FBgn0066114	1560	179	141	171	199
FBgn0029697	4278	2	1	8	14
FBgn0029701	573	0	0	4	0
FBgn0029702	2383	5	0	8	5
FBgn0029706	3785	875	863	705	896
FBgn0029707	1489	10	6	8	12
FBgn0029705	1643	69	61	56	92
FBgn0040907	349	454	592	511	371
FBgn0002707	3606	111	128	82	151
FBgn0040906	521	6	5	3	1
FBgn0029703	1946	4	3	8	1
FBgn0040905	415	2	5	2	2
FBgn0040904	508	1	0	2	1
FBgn0029700	921	1	1	7	3
FBgn0052774	1987	8	3	40	25
FBgn0041252	833	3	2	0	1
FBgn0029696	522	0	0	2	1
FBgn0000635	7306	4516	4425	3477	3685
FBgn0026080	2413	310	372	190	330
FBgn0026079	2444	265	192	118	246
FBgn0004832	1178	201	196	139	160
FBgn0029693	3339	598	599	452	672
FBgn0000179	6095	2466	2320	1773	1948
FBgn0029708	4050	4827	4733	3606	3642
FBgn0029709	1172	715	929	602	726
FBgn0029710	1693	112	141	121	162
FBgn0029712	888	28	68	26	27
FBgn0029714	970	184	168	165	130
FBgn0029716	2246	6	0	27	9
FBgn0022768	5675	3424	3274	2690	3007
FBgn0029715	1282	639	734	626	659
FBgn0029713	1996	154	200	142	160
FBgn0029711	3617	1091	1201	1186	959
FBgn0003210	4813	1346	1431	969	1525
FBgn0052773	1868	25	42	18	24
FBgn0011760	4645	23759	24310	13029	13574
FBgn0028325	2151	5275	5313	4040	5187
FBgn0029722	1878	21	20	21	25
FBgn0029727	1985	2	0	8	1
FBgn0029729	860	0	0	0	0
FBgn0029730	1594	186	117	152	123
FBgn0029733	1868	1	2	3	4
FBgn0052772	3368	1329	1453	1046	1229
FBgn0029737	2313	576	460	376	660
FBgn0004368	7229	2510	2528	1716	2425
FBgn0029740	948	3	8	2	1
FBgn0061196	1200	2	1	8	6
FBgn0029728	6151	25	22	36	29
FBgn0029726	579	1	4	7	2
FBgn0029725	1392	2	4	25	4
FBgn0025679	1032	0	3	1	0
FBgn0029724	1411	0	5	1	1
FBgn0029745	1088	71	88	36	49
FBgn0029746	19353	0	0	0	0
FBgn0003449	835	514	491	468	492
FBgn0011761	955	6	9	28	7
FBgn0029753	1867	0	8	1	0
FBgn0029755	1663	226	266	173	188
FBgn0014024	3323	1078	1086	811	918
FBgn0029754	1883	5	6	7	9
FBgn0029752	1108	23	12	25	10
FBgn0029751	1157	14	17	18	21
FBgn0029750	2628	21	7	17	5
FBgn0029747	2124	268	202	201	307
FBgn0052767	11634	9700	10136	6879	7894
FBgn0024332	2747	97	100	56	70
FBgn0026751	2319	250	291	189	291
FBgn0010014	1234	1346	1560	935	1330
FBgn0029761	10891	15024	15847	10273	10625
FBgn0029763	4784	792	871	583	817
FBgn0029765	521	882	965	800	775
FBgn0029766	2956	2279	2127	2509	3890
FBgn0029768	3730	1152	1089	670	1082
FBgn0029770	1307	1	4	1	4
FBgn0029771	1892	358	378	237	433
FBgn0026702	2779	106	171	56	157
FBgn0004687	1399	2184	2320	1532	2143
FBgn0029778	1933	269	309	239	287
FBgn0052762	854	2	3	0	5
FBgn0029769	2975	590	516	457	512
FBgn0029762	2485	1086	1144	889	1282
FBgn0029756	2614	182	194	189	211
FBgn0028474	3857	924	1029	660	998
FBgn0029785	732	6280	6645	8492	6846
FBgn0003747	1490	9	7	1	10
FBgn0000394	2053	514	548	513	520
FBgn0029791	3992	807	758	590	959
FBgn0029795	1786	98	71	50	93
FBgn0029798	3603	120	130	115	167
FBgn0029799	1691	660	612	464	489
FBgn0029801	2923	2753	2819	2942	2539
FBgn0029809	1433	10	10	4	6
FBgn0029810	2343	6094	7536	5688	6306
FBgn0029811	605	0	1	0	3
FBgn0029812	1077	0	0	1	5
FBgn0029814	4388	10304	10768	7256	8268
FBgn0052761	71	9	7	0	4
FBgn0029816	827	0	5	4	2
FBgn0029817	1172	1	1	3	6
FBgn0029820	2697	982	1193	853	1163
FBgn0029821	1886	9	6	22	1
FBgn0029822	3692	1477	1421	1440	1182
FBgn0029823	2518	1597	1667	997	1647
FBgn0029819	2436	593	596	524	633
FBgn0014340	3014	279	222	182	308
FBgn0029818	2388	703	576	425	581
FBgn0029813	957	6	2	3	0
FBgn0029807	3578	53	54	45	38
FBgn0029804	1983	541	465	451	483
FBgn0013987	2198	1639	1699	1476	1533
FBgn0029800	1360	250	227	170	220
FBgn0261383	6250	2160	1991	1259	1864
FBgn0052758	4568	3448	3599	2413	3185
FBgn0053080	3705	1915	2288	1485	1688
FBgn0027564	2020	205	219	173	221
FBgn0029789	3674	562	667	431	473
FBgn0046687	1838	103	86	96	127
FBgn0015794	833	306	438	248	421
FBgn0029783	1253	20	23	7	13
FBgn0029824	3152	878	847	522	786
FBgn0029825	2374	158	199	128	175
FBgn0052756	2397	237	268	213	283
FBgn0029826	1109	66	34	40	72
FBgn0052755	1347	1	19	25	28
FBgn0029827	1158	0	1	19	5
FBgn0029828	1408	1290	1161	844	1130
FBgn0029830	3764	235	196	145	188
FBgn0029831	3751	576	667	374	689
FBgn0029833	1245	323	292	254	253
FBgn0029834	8374	3613	3335	2404	3210
FBgn0029835	4668	286	290	234	282
FBgn0029843	4793	1454	1553	1024	1268
FBgn0029849	1896	440	462	327	532
FBgn0003514	1578	2469	2418	1859	2020
FBgn0029848	1907	4	1	2	2
FBgn0040069	1864	13	12	9	9
FBgn0052751	1758	0	1	1	0
FBgn0052750	1645	22	2	37	19
FBgn0026060	2458	24	17	5	24
FBgn0029840	7097	967	931	553	1093
FBgn0029839	1275	547	483	444	421
FBgn0029838	1363	156	201	165	155
FBgn0029837	2108	2814	2584	2577	2000
FBgn0003302	1463	178	226	78	201
FBgn0029003	2082	194	195	183	285
FBgn0027546	2673	201	275	206	275
FBgn0005390	5690	9	10	24	10
FBgn0029851	1686	164	124	200	171
FBgn0015818	1643	310	252	137	294
FBgn0029853	951	145	166	145	160
FBgn0028982	6166	2678	2910	1889	2778
FBgn0029857	1463	117	130	53	154
FBgn0029858	2809	64	58	62	79
FBgn0029861	3232	372	340	276	378
FBgn0029863	1282	104	146	115	129
FBgn0029864	7435	2826	2865	1755	2525
FBgn0029866	2751	496	579	457	709
FBgn0029867	2134	683	659	581	649
FBgn0052748	73	1	6	0	1
FBgn0029873	1808	321	332	208	327
FBgn0014031	1410	862	1030	584	1098
FBgn0000524	3828	518	477	502	509
FBgn0014026	1315	9109	9913	6698	11428
FBgn0029874	1709	130	116	125	98
FBgn0003139	1675	781	749	582	638
FBgn0003655	2022	1	9	9	14
FBgn0016974	1547	18	23	12	11
FBgn0029868	1265	2341	2645	2863	1988
FBgn0043796	2018	235	325	264	255
FBgn0031295	793	143	105	112	115
FBgn0031273	2549	1319	583	3981	1550
FBgn0011244	2203	4	5	52	10
FBgn0031275	7035	1600	1590	929	1427
FBgn0031276	471	0	0	0	0
FBgn0040725	406	0	2	0	0
FBgn0031277	483	0	0	9	3
FBgn0041250	2220	12	1	15	9
FBgn0031279	4359	5	1	29	3
FBgn0051658	783	1	3	13	13
FBgn0031282	2104	63	72	56	90
FBgn0015621	1246	37	44	44	51
FBgn0010583	3735	2176	2146	1583	2141
FBgn0020545	1320	470	594	271	544
FBgn0031288	1183	5	3	0	1
FBgn0031289	1185	47	60	96	89
FBgn0002936	871	0	0	0	0
FBgn0002563	2749	10656	12377	6459	6245
FBgn0046113	3004	40	41	50	50
FBgn0003916	164	76	132	55	98
FBgn0031292	7072	24	10	42	25
FBgn0020305	1185	169	181	118	169
FBgn0029095	3445	1307	1494	1121	1345
FBgn0031287	1310	151	231	220	167
FBgn0020304	4423	5446	5355	4575	5186
FBgn0031286	1533	157	221	180	197
FBgn0031284	1370	244	206	260	201
FBgn0031283	896	0	0	0	0
FBgn0031281	2416	161	155	139	164
FBgn0000442	2583	14	25	22	16
FBgn0026438	3996	8006	7902	5862	7860
FBgn0040106	904	0	1	26	1
FBgn0004611	7774	7316	7955	5493	6577
FBgn0053127	991	30	48	28	65
FBgn0000061	1806	27	13	34	16
FBgn0003278	3564	141	195	176	189
FBgn0002593	768	6854	7137	7478	9000
FBgn0031254	665	10	10	26	17
FBgn0031255	2259	20	16	39	10
FBgn0004583	6672	1933	1845	1683	1639
FBgn0031256	1488	267	333	186	315
FBgn0031257	2642	818	790	587	718
FBgn0027592	2592	305	379	248	392
FBgn0003963	6706	501	454	452	498
FBgn0031263	853	274	337	317	232
FBgn0031265	2310	120	156	77	162
FBgn0031266	4346	1114	1136	784	1176
FBgn0031268	1158	251	288	229	319
FBgn0023489	1880	497	634	399	586
FBgn0010323	2584	40	36	45	49
FBgn0013323	1128	15	12	20	24
FBgn0031267	1232	92	114	93	96
FBgn0021874	1584	79	65	46	65
FBgn0031264	3252	288	383	345	302
FBgn0005660	5407	71	74	98	71
FBgn0031260	1736	618	652	566	650
FBgn0010602	1864	850	953	725	889
FBgn0043364	3243	3635	3656	3150	3247
FBgn0031258	6869	2039	2226	1755	1906
FBgn0015924	2848	2360	2699	1723	2530
FBgn0031253	556	47	32	19	27
FBgn0031252	1219	11	14	13	14
FBgn0031251	4436	197	210	192	172
FBgn0031250	1972	60	53	67	104
FBgn0051921	2426	213	152	117	143
FBgn0031249	970	47	48	63	52
FBgn0031248	898	66	100	58	63
FBgn0067779	4499	1082	1211	891	1034
FBgn0031213	2751	1121	1294	903	1217
FBgn0031214	1378	325	305	260	243
FBgn0031216	6476	2646	2775	2232	2526
FBgn0031217	1583	522	534	310	358
FBgn0001142	2396	3943	4025	3001	4172
FBgn0031224	905	240	199	176	211
FBgn0031228	1135	1306	1536	1148	1178
FBgn0031229	1381	720	866	711	584
FBgn0031231	903	222	253	210	228
FBgn0031233	3348	424	528	398	522
FBgn0031235	1660	165	177	156	174
FBgn0031240	2417	75	90	83	94
FBgn0003444	4008	262	270	266	286
FBgn0031247	748	158	144	136	126
FBgn0024352	2023	926	1088	853	832
FBgn0020622	4938	1854	2157	2134	2163
FBgn0017457	1655	446	423	297	384
FBgn0025686	1893	18	25	29	22
FBgn0031245	1974	1368	1388	1041	1296
FBgn0031244	1452	124	166	41	153
FBgn0031238	1942	197	229	173	177
FBgn0031239	7557	1760	1611	1217	1505
FBgn0031232	1357	33	74	60	64
FBgn0031227	1699	86	67	38	68
FBgn0051974	1908	512	511	370	555
FBgn0051975	2206	0	0	0	0
FBgn0051976	2206	0	0	0	0
FBgn0031219	1124	53	57	82	68
FBgn0026787	2551	517	428	366	482
FBgn0002931	2225	464	449	215	278
FBgn0051973	10793	3193	3509	2713	2565
FBgn0031209	2629	34	20	20	26
FBgn0002121	5986	2242	2781	1787	2163
FBgn0036970	1440	32	32	45	28
FBgn0036974	3112	2314	2378	1452	2618
FBgn0036975	2269	1796	1769	1161	1747
FBgn0024887	1453	217	210	166	201
FBgn0036977	1188	2	4	9	0
FBgn0001259	3062	41	39	65	79
FBgn0036979	1305	14	16	26	5
FBgn0036980	3355	1703	1638	1325	1619
FBgn0036985	7031	136	133	160	97
FBgn0019947	2048	422	478	269	459
FBgn0036991	1866	287	279	229	272
FBgn0036993	1199	697	816	619	778
FBgn0036996	1477	7	12	26	3
FBgn0036997	1314	542	635	344	465
FBgn0036998	947	171	112	161	112
FBgn0036999	2153	185	219	175	226
FBgn0037001	1616	2465	3219	1753	2672
FBgn0052425	4295	2822	2962	2519	2941
FBgn0037003	1665	96	68	51	99
FBgn0037004	1515	55	23	31	41
FBgn0037005	1344	54	33	56	54
FBgn0037009	787	220	190	178	181
FBgn0037011	950	199	243	129	193
FBgn0037013	579	8	7	9	27
FBgn0001323	3909	443	394	369	428
FBgn0037012	2245	339	329	283	309
FBgn0037010	2049	2818	2579	2661	2160
FBgn0037008	1124	94	122	74	119
FBgn0037007	2332	3060	3425	2933	2870
FBgn0037000	2536	248	250	257	271
FBgn0052428	2299	888	697	934	1011
FBgn0036995	5188	293	470	147	226
FBgn0036994	1643	123	136	112	123
FBgn0036992	1518	1794	2185	1875	2369
FBgn0036990	1029	233	216	184	223
FBgn0029158	1373	358	411	321	368
FBgn0036988	2033	288	268	291	348
FBgn0036987	1390	146	147	124	162
FBgn0036986	1543	485	502	424	530
FBgn0036984	2856	524	548	381	585
FBgn0028978	2372	376	431	348	395
FBgn0027565	1523	309	337	294	330
FBgn0001247	3439	1549	1777	1260	1705
FBgn0036978	3490	1	5	25	7
FBgn0036973	1853	133	136	106	130
FBgn0037014	3413	61	61	47	63
FBgn0037016	2532	814	816	827	688
FBgn0040634	444	61	46	65	28
FBgn0016696	4544	4672	5441	3537	5085
FBgn0037020	1249	409	434	396	441
FBgn0037024	1283	376	507	421	450
FBgn0037025	6195	41	35	121	43
FBgn0037027	3369	1135	1160	997	1158
FBgn0037030	908	0	0	0	0
FBgn0040636	1352	122	75	69	99
FBgn0037031	1806	488	563	387	457
FBgn0040637	537	1727	2021	848	1185
FBgn0037035	1365	65	61	66	50
FBgn0011591	1959	909	771	726	841
FBgn0052432	4487	5505	5549	4214	5204
FBgn0027055	1679	340	421	361	373
FBgn0037026	2340	748	866	637	673
FBgn0037023	1135	3	6	9	7
FBgn0027364	1849	17	20	36	33
FBgn0037022	1601	279	253	263	333
FBgn0037021	4254	1573	1581	1411	1669
FBgn0037019	1439	145	170	93	138
FBgn0037018	1025	235	199	191	199
FBgn0037017	1157	141	151	176	149
FBgn0045474	1396	29	33	38	47
FBgn0037015	2753	837	827	490	776
FBgn0001320	2215	377	442	411	416
FBgn0037037	3727	3	2	18	6
FBgn0053283	738	4	1	0	4
FBgn0037042	909	8	6	3	5
FBgn0037044	1990	206	200	123	228
FBgn0028402	1673	138	168	93	181
FBgn0026179	6940	5703	5579	4601	5038
FBgn0053284	1132	31	43	32	36
FBgn0037050	1735	493	499	406	431
FBgn0037057	2394	625	714	410	581
FBgn0037060	3270	1777	1763	1612	1642
FBgn0028427	2220	985	1006	686	865
FBgn0004865	5878	1211	1386	1021	1062
FBgn0037061	627	156	131	169	141
FBgn0037059	1732	2	0	9	8
FBgn0053056	1914	575	694	580	605
FBgn0053054	773	116	86	35	75
FBgn0041100	1687	57	35	32	58
FBgn0024150	6850	362	447	354	389
FBgn0037051	2538	682	689	545	776
FBgn0020294	4710	1055	968	786	1034
FBgn0053285	767	12	11	20	11
FBgn0037045	1081	271	251	139	234
FBgn0003415	12307	9526	9404	7127	8078
FBgn0053286	3294	0	0	24	2
FBgn0053287	3434	3	2	59	7
FBgn0037040	3696	4	3	23	12
FBgn0037039	957	4	1	0	0
FBgn0037038	913	0	0	0	0
FBgn0037036	883	4	1	7	0
FBgn0037068	2124	0	6	2	13
FBgn0037069	522	11	29	6	25
FBgn0037071	1442	304	244	193	270
FBgn0037073	2844	393	399	379	401
FBgn0052436	5407	16	11	59	24
